date,matrix_drought_index,matrix_class,sm_norm,recharge_norm,discharge_norm
1996-10-31,0.79,mild_drought,0.9,0.8333333333333335,0.6
1996-11-30,0.73,mild_drought,0.7,0.7333333333333333,0.7666666666666667
1996-12-31,0.62,mild_drought,0.6,0.5333333333333333,0.7333333333333333
1997-01-31,0.4433333333333333,moderate_drought,0.33333333333333326,0.4666666666666666,0.5666666666666667
1997-02-28,0.41666666666666663,moderate_drought,0.4666666666666666,0.16666666666666663,0.6
1997-03-31,0.43,moderate_drought,0.6,0.4666666666666666,0.16666666666666663
1997-04-30,0.7266666666666667,mild_drought,0.8666666666666667,0.7666666666666667,0.5
1997-05-31,0.8266666666666667,normal_or_wet,0.8666666666666667,0.8666666666666667,0.7333333333333333
1997-06-30,0.6366666666666667,mild_drought,0.36666666666666664,0.7666666666666667,0.8666666666666667
1997-07-31,0.5899999999999999,moderate_drought,0.7,0.36666666666666664,0.6666666666666665
1997-08-31,0.6433333333333334,mild_drought,0.6333333333333333,0.9,0.4
1997-09-30,0.5833333333333333,moderate_drought,0.13333333333333333,0.8,0.9666666666666667
1997-10-31,0.3466666666666667,severe_drought,0.26666666666666666,0.16666666666666663,0.6333333333333333
1997-11-30,0.25666666666666665,severe_drought,0.26666666666666666,0.33333333333333326,0.16666666666666663
1997-12-31,0.3033333333333333,severe_drought,0.33333333333333326,0.16666666666666663,0.4
1998-01-31,0.31,severe_drought,0.2,0.6,0.16666666666666663
1998-02-28,0.37999999999999995,severe_drought,0.2,0.33333333333333326,0.6666666666666665
1998-03-31,0.5066666666666667,moderate_drought,0.8666666666666667,0.4,0.13333333333333333
1998-04-30,0.5700000000000001,moderate_drought,0.6,0.8333333333333335,0.26666666666666666
1998-05-31,0.39,severe_drought,0.1,0.4,0.7666666666666667
1998-06-30,0.38,severe_drought,0.6,0.06666666666666667,0.4
1998-07-31,0.4933333333333333,moderate_drought,0.7333333333333333,0.5666666666666667,0.1
1998-08-31,0.61,mild_drought,0.7,0.6,0.5
1998-09-30,0.6066666666666667,mild_drought,0.8666666666666667,0.4666666666666666,0.4
1998-10-31,0.81,normal_or_wet,1.0,0.9,0.4666666666666666
1998-11-30,0.96,normal_or_wet,1.0,0.9666666666666667,0.9
1998-12-31,0.8733333333333335,normal_or_wet,0.8333333333333335,0.9,0.9
1999-01-31,0.6166666666666667,mild_drought,0.36666666666666664,0.7333333333333333,0.8333333333333335
1999-02-28,0.7066666666666667,mild_drought,0.8666666666666667,0.4666666666666666,0.7333333333333333
1999-03-31,0.6766666666666666,mild_drought,0.6666666666666665,0.8666666666666667,0.5
1999-04-30,0.8233333333333334,normal_or_wet,0.7333333333333333,0.8666666666666667,0.9
1999-05-31,0.7366666666666666,mild_drought,0.6666666666666665,0.7,0.8666666666666667
1999-06-30,0.7433333333333334,mild_drought,0.8333333333333335,0.5666666666666667,0.8
1999-07-31,0.7466666666666667,mild_drought,0.7666666666666667,0.8333333333333335,0.6333333333333333
1999-08-31,0.6100000000000001,mild_drought,0.2,0.8666666666666667,0.9
1999-09-30,0.3366666666666667,severe_drought,0.06666666666666667,0.2,0.8333333333333335
1999-10-31,0.19,extreme_drought,0.2,0.1,0.26666666666666666
1999-11-30,0.30333333333333334,severe_drought,0.5333333333333333,0.2,0.1
1999-12-31,0.45999999999999996,moderate_drought,0.5,0.6666666666666665,0.2
2000-01-31,0.51,moderate_drought,0.6,0.2333333333333333,0.6666666666666665
2000-02-29,0.6100000000000001,mild_drought,0.9,0.6333333333333333,0.2
2000-03-31,0.9066666666666667,normal_or_wet,0.9666666666666667,1.0,0.7333333333333333
2000-04-30,0.8566666666666667,normal_or_wet,0.6666666666666665,1.0,0.9666666666666667
2000-05-31,0.5666666666666667,moderate_drought,0.06666666666666667,0.8,1.0
2000-06-30,0.3700000000000001,severe_drought,0.2,0.13333333333333333,0.8333333333333335
2000-07-31,0.4566666666666666,moderate_drought,0.6666666666666665,0.2333333333333333,0.4
2000-08-31,0.33,severe_drought,0.4,0.36666666666666664,0.2
2000-09-30,0.5266666666666667,moderate_drought,0.7666666666666667,0.3,0.43333333333333335
2000-10-31,0.5833333333333333,moderate_drought,0.5333333333333333,0.6666666666666665,0.5666666666666667
2000-11-30,0.44333333333333325,moderate_drought,0.2333333333333333,0.5,0.6666666666666665
2000-12-31,0.25333333333333335,severe_drought,0.03333333333333333,0.26666666666666666,0.5333333333333333
2001-01-31,0.13333333333333333,extreme_drought,0.03333333333333333,0.1,0.3
2001-02-28,0.06666666666666667,extreme_drought,0.06666666666666667,0.03333333333333333,0.1
2001-03-31,0.40666666666666673,moderate_drought,0.7666666666666667,0.26666666666666666,0.06666666666666667
2001-04-30,0.6133333333333333,mild_drought,0.9333333333333332,0.6333333333333333,0.16666666666666663
2001-05-31,0.6200000000000001,mild_drought,0.5,0.8333333333333335,0.5666666666666667
2001-06-30,0.7366666666666667,mild_drought,0.8666666666666667,0.5333333333333333,0.7666666666666667
2001-07-31,0.5566666666666666,moderate_drought,0.5666666666666667,0.6333333333333333,0.4666666666666666
2001-08-31,0.46666666666666656,moderate_drought,0.16666666666666663,0.6666666666666665,0.6666666666666665
2001-09-30,0.6,mild_drought,0.9,0.16666666666666663,0.6333333333333333
2001-10-31,0.5633333333333334,moderate_drought,0.7333333333333333,0.7666666666666667,0.13333333333333333
2001-11-30,0.7433333333333334,mild_drought,0.7333333333333333,0.6666666666666665,0.8333333333333335
2001-12-31,0.7866666666666666,mild_drought,0.9666666666666667,0.7666666666666667,0.5666666666666667
2002-01-31,0.7933333333333334,mild_drought,0.8333333333333335,0.7666666666666667,0.7666666666666667
2002-02-28,0.6,mild_drought,0.5,0.5666666666666667,0.7666666666666667
2002-03-31,0.7033333333333334,mild_drought,0.43333333333333335,0.9666666666666667,0.8
2002-04-30,0.6066666666666667,mild_drought,0.4666666666666666,0.4666666666666666,0.9333333333333332
2002-05-31,0.5133333333333333,moderate_drought,0.5333333333333333,0.5,0.5
2002-06-30,0.5333333333333333,moderate_drought,0.43333333333333335,0.5,0.7
2002-07-31,0.4766666666666667,moderate_drought,0.4666666666666666,0.43333333333333335,0.5333333333333333
2002-08-31,0.6166666666666667,mild_drought,0.9666666666666667,0.4,0.36666666666666664
2002-09-30,0.73,mild_drought,0.7,0.9666666666666667,0.5333333333333333
2002-10-31,0.8833333333333335,normal_or_wet,0.8333333333333335,0.8666666666666667,0.9666666666666667
2002-11-30,0.9266666666666667,normal_or_wet,0.9666666666666667,0.9333333333333332,0.8666666666666667
2002-12-31,0.9266666666666667,normal_or_wet,0.8666666666666667,1.0,0.9333333333333332
2003-01-31,0.9533333333333334,normal_or_wet,0.9333333333333332,0.9333333333333332,1.0
2003-02-28,0.7866666666666666,mild_drought,0.5666666666666667,0.9,0.9666666666666667
2003-03-31,0.4466666666666666,moderate_drought,0.16666666666666663,0.33333333333333326,0.9333333333333332
2003-04-30,0.29333333333333333,severe_drought,0.2333333333333333,0.2333333333333333,0.43333333333333335
2003-05-31,0.32,severe_drought,0.4,0.2,0.33333333333333326
2003-06-30,0.21666666666666665,severe_drought,0.06666666666666667,0.33333333333333326,0.3
2003-07-31,0.26666666666666666,severe_drought,0.26666666666666666,0.03333333333333333,0.5
2003-08-31,0.10666666666666666,extreme_drought,0.06666666666666667,0.16666666666666663,0.1
2003-09-30,0.19,extreme_drought,0.2,0.13333333333333333,0.2333333333333333
2003-10-31,0.21666666666666667,severe_drought,0.36666666666666664,0.13333333333333333,0.1
2003-11-30,0.19000000000000003,extreme_drought,0.2,0.2333333333333333,0.13333333333333333
2003-12-31,0.14,extreme_drought,0.1,0.1,0.2333333333333333
2004-01-31,0.12666666666666665,extreme_drought,0.16666666666666663,0.13333333333333333,0.06666666666666667
2004-02-29,0.4766666666666667,moderate_drought,0.7666666666666667,0.43333333333333335,0.13333333333333333
2004-03-31,0.5466666666666666,moderate_drought,0.4666666666666666,0.7666666666666667,0.43333333333333335
2004-04-30,0.4700000000000001,moderate_drought,0.4,0.26666666666666666,0.7666666666666667
2004-05-31,0.55,moderate_drought,1.0,0.3,0.2
2004-06-30,0.6433333333333333,mild_drought,0.7333333333333333,1.0,0.16666666666666663
2004-07-31,0.8800000000000001,normal_or_wet,0.9,0.7666666666666667,0.9666666666666667
2004-08-31,0.4966666666666667,moderate_drought,0.26666666666666666,0.7666666666666667,0.5333333333333333
2004-09-30,0.4433333333333333,moderate_drought,0.2333333333333333,0.36666666666666664,0.8
2004-10-31,0.41333333333333333,moderate_drought,0.6333333333333333,0.2333333333333333,0.3
2004-11-30,0.5966666666666667,moderate_drought,0.7666666666666667,0.4666666666666666,0.5
2004-12-31,0.6666666666666666,mild_drought,0.7666666666666667,0.8666666666666667,0.33333333333333326
2005-01-31,0.74,mild_drought,0.7,0.6333333333333333,0.9
2005-02-28,0.77,mild_drought,1.0,0.7666666666666667,0.4666666666666666
2005-03-31,0.8233333333333334,normal_or_wet,0.8333333333333335,0.9333333333333332,0.7
2005-04-30,0.6466666666666667,mild_drought,0.26666666666666666,0.8,1.0
2005-05-31,0.6866666666666668,mild_drought,0.7666666666666667,0.36666666666666664,0.9
2005-06-30,0.47,moderate_drought,0.3,0.7,0.4666666666666666
2005-07-31,0.5733333333333333,moderate_drought,0.6333333333333333,0.33333333333333326,0.7333333333333333
2005-08-31,0.66,mild_drought,0.9,0.5333333333333333,0.4666666666666666
2005-09-30,0.7066666666666666,mild_drought,0.6666666666666665,0.9,0.5666666666666667
2005-10-31,0.6033333333333333,mild_drought,0.2333333333333333,0.8,0.9
2005-11-30,0.39,severe_drought,0.1,0.36666666666666664,0.8
2005-12-31,0.27666666666666667,severe_drought,0.26666666666666666,0.2,0.36666666666666664
2006-01-31,0.2833333333333333,severe_drought,0.13333333333333333,0.4,0.36666666666666664
2006-02-28,0.35,severe_drought,0.3,0.13333333333333333,0.6333333333333333
2006-03-31,0.51,moderate_drought,0.9,0.3,0.2
2006-04-30,0.6433333333333334,mild_drought,0.8333333333333335,0.7,0.33333333333333326
2006-05-31,0.7566666666666666,mild_drought,0.5666666666666667,0.9333333333333332,0.8333333333333335
2006-06-30,0.7433333333333334,mild_drought,0.5333333333333333,0.8333333333333335,0.9333333333333332
2006-07-31,0.48,moderate_drought,0.1,0.7,0.7666666666666667
2006-08-31,0.54,moderate_drought,0.8,0.13333333333333333,0.6
2006-09-30,0.4266666666666667,moderate_drought,0.36666666666666664,0.7666666666666667,0.16666666666666663
2006-10-31,0.61,mild_drought,0.6,0.4666666666666666,0.7666666666666667
2006-11-30,0.5333333333333333,moderate_drought,0.6333333333333333,0.6333333333333333,0.3
2006-12-31,0.5666666666666667,moderate_drought,0.36666666666666664,0.7,0.7
2007-01-31,0.41333333333333333,moderate_drought,0.43333333333333335,0.16666666666666663,0.6333333333333333
2007-02-28,0.53,moderate_drought,0.8,0.5333333333333333,0.16666666666666663
2007-03-31,0.5466666666666666,moderate_drought,0.26666666666666666,0.9,0.5666666666666667
2007-04-30,0.43333333333333335,moderate_drought,0.03333333333333333,0.6,0.8
2007-05-31,0.37666666666666665,severe_drought,0.36666666666666664,0.13333333333333333,0.6333333333333333
2007-06-30,0.45,moderate_drought,0.8,0.3,0.13333333333333333
2007-07-31,0.6299999999999999,mild_drought,0.6,0.7333333333333333,0.5666666666666667
2007-08-31,0.7333333333333333,mild_drought,0.9333333333333332,0.43333333333333335,0.7666666666666667
2007-09-30,0.7933333333333333,mild_drought,0.9333333333333332,0.9333333333333332,0.4666666666666666
2007-10-31,0.8800000000000001,normal_or_wet,0.8,0.9333333333333332,0.9333333333333332
2007-11-30,0.8633333333333335,normal_or_wet,0.8333333333333335,0.8333333333333335,0.9333333333333332
2007-12-31,0.9099999999999999,normal_or_wet,1.0,0.9333333333333332,0.7666666666666667
2008-01-31,0.8166666666666667,normal_or_wet,0.5666666666666667,1.0,0.9666666666666667
2008-02-29,0.6066666666666667,mild_drought,0.26666666666666666,0.7333333333333333,0.9333333333333332
2008-03-31,0.72,mild_drought,0.7,0.6333333333333333,0.8333333333333335
2008-04-30,0.7966666666666666,mild_drought,0.9666666666666667,0.6666666666666665,0.7
2008-05-31,0.6866666666666666,mild_drought,0.4666666666666666,0.9666666666666667,0.7
2008-06-30,0.6100000000000001,mild_drought,0.1,0.9,1.0
2008-07-31,0.41000000000000003,moderate_drought,0.3,0.1,0.8666666666666667
2008-08-31,0.32666666666666666,severe_drought,0.4666666666666666,0.2333333333333333,0.2333333333333333
2008-09-30,0.3566666666666667,severe_drought,0.4666666666666666,0.26666666666666666,0.3
2008-10-31,0.4,moderate_drought,0.4,0.43333333333333335,0.36666666666666664
2008-11-30,0.51,moderate_drought,0.6,0.43333333333333335,0.4666666666666666
2008-12-31,0.6433333333333333,mild_drought,0.7333333333333333,0.5666666666666667,0.6
2009-01-31,0.5700000000000001,moderate_drought,0.4,0.8333333333333335,0.5333333333333333
2009-02-28,0.47333333333333333,moderate_drought,0.43333333333333335,0.2,0.8
2009-03-31,0.6,mild_drought,1.0,0.43333333333333335,0.2333333333333333
2009-04-30,0.5966666666666667,moderate_drought,0.36666666666666664,0.9666666666666667,0.5333333333333333
2009-05-31,0.7533333333333333,mild_drought,0.7333333333333333,0.5666666666666667,0.9666666666666667
2009-06-30,0.78,mild_drought,0.9,0.7333333333333333,0.6666666666666665
2009-07-31,0.8966666666666667,normal_or_wet,0.9666666666666667,0.9,0.8
2009-08-31,0.7666666666666666,mild_drought,0.5666666666666667,0.9333333333333332,0.8666666666666667
2009-09-30,0.5366666666666666,moderate_drought,0.16666666666666663,0.6333333333333333,0.9333333333333332
2009-10-31,0.5466666666666666,moderate_drought,0.6666666666666665,0.26666666666666666,0.6666666666666665
2009-11-30,0.7466666666666667,mild_drought,0.8666666666666667,0.9,0.43333333333333335
2009-12-31,0.8400000000000001,normal_or_wet,0.8,0.7333333333333333,1.0
2010-01-31,0.7666666666666666,mild_drought,0.7666666666666667,0.8,0.7333333333333333
2010-02-28,0.5833333333333334,moderate_drought,0.5333333333333333,0.36666666666666664,0.8666666666666667
2010-03-31,0.4633333333333333,moderate_drought,0.7333333333333333,0.16666666666666663,0.4
2010-04-30,0.5900000000000001,moderate_drought,0.5,0.9,0.4
2010-05-31,0.7733333333333334,mild_drought,0.8333333333333335,0.6666666666666665,0.8
2010-06-30,0.6433333333333333,mild_drought,0.6333333333333333,0.6666666666666665,0.6333333333333333
2010-07-31,0.6633333333333333,mild_drought,0.43333333333333335,0.9333333333333332,0.7
2010-08-31,0.8899999999999999,normal_or_wet,1.0,0.7,0.9333333333333332
2010-09-30,0.9466666666666668,normal_or_wet,0.9666666666666667,1.0,0.8666666666666667
2010-10-31,0.9366666666666668,normal_or_wet,0.8666666666666667,0.9666666666666667,1.0
2010-11-30,0.8566666666666667,normal_or_wet,0.6666666666666665,1.0,0.9666666666666667
2010-12-31,0.8900000000000001,normal_or_wet,0.9,0.8,0.9666666666666667
2011-01-31,0.7100000000000001,mild_drought,0.9,0.3,0.8666666666666667
2011-02-28,0.6533333333333333,mild_drought,0.6333333333333333,1.0,0.33333333333333326
2011-03-31,0.5900000000000001,moderate_drought,0.1,0.8333333333333335,1.0
2011-04-30,0.3666666666666667,severe_drought,0.16666666666666663,0.13333333333333333,0.8666666666666667
2011-05-31,0.15333333333333332,extreme_drought,0.03333333333333333,0.2333333333333333,0.2333333333333333
2011-06-30,0.2733333333333333,severe_drought,0.33333333333333326,0.1,0.36666666666666664
2011-07-31,0.5800000000000001,moderate_drought,1.0,0.26666666666666666,0.33333333333333326
2011-08-31,0.7466666666666667,mild_drought,0.8666666666666667,1.0,0.33333333333333326
2011-09-30,0.8,normal_or_wet,0.6,0.8666666666666667,1.0
2011-10-31,0.6566666666666666,mild_drought,0.4666666666666666,0.7,0.8666666666666667
2011-11-30,0.42666666666666664,moderate_drought,0.06666666666666667,0.6,0.7333333333333333
2011-12-31,0.23666666666666664,severe_drought,0.06666666666666667,0.06666666666666667,0.6333333333333333
2012-01-31,0.5166666666666667,moderate_drought,0.8666666666666667,0.43333333333333335,0.13333333333333333
2012-02-29,0.8133333333333334,normal_or_wet,0.9333333333333332,0.9666666666666667,0.5
2012-03-31,0.54,moderate_drought,0.2,0.5666666666666667,0.9666666666666667
2012-04-30,0.47,moderate_drought,0.3,0.43333333333333335,0.7333333333333333
2012-05-31,0.26666666666666666,severe_drought,0.16666666666666663,0.26666666666666666,0.4
2012-06-30,0.4366666666666667,moderate_drought,0.7666666666666667,0.2,0.2333333333333333
2012-07-31,0.5800000000000001,moderate_drought,0.8,0.5,0.36666666666666664
2012-08-31,0.5133333333333333,moderate_drought,0.13333333333333333,0.8,0.7333333333333333
2012-09-30,0.3966666666666666,severe_drought,0.26666666666666666,0.2333333333333333,0.7333333333333333
2012-10-31,0.20666666666666664,severe_drought,0.16666666666666663,0.3,0.16666666666666663
2012-11-30,0.31000000000000005,severe_drought,0.4,0.13333333333333333,0.36666666666666664
2012-12-31,0.3533333333333334,severe_drought,0.5333333333333333,0.36666666666666664,0.1
2013-01-31,0.83,normal_or_wet,1.0,0.9666666666666667,0.4666666666666666
2013-02-28,0.9666666666666668,normal_or_wet,0.9666666666666667,0.9333333333333332,1.0
2013-03-31,0.77,mild_drought,0.8,0.6,0.9
2013-04-30,0.62,mild_drought,0.8,0.36666666666666664,0.6333333333333333
2013-05-31,0.7333333333333333,mild_drought,0.9333333333333332,0.7666666666666667,0.43333333333333335
2013-06-30,0.8866666666666667,normal_or_wet,0.9666666666666667,0.9333333333333332,0.7333333333333333
2013-07-31,0.6799999999999999,mild_drought,0.2,1.0,1.0
2013-08-31,0.7433333333333334,mild_drought,0.7333333333333333,0.5,1.0
2013-09-30,0.52,moderate_drought,0.3,0.7333333333333333,0.6
2013-10-31,0.44333333333333325,moderate_drought,0.33333333333333326,0.33333333333333326,0.7
2013-11-30,0.45333333333333337,moderate_drought,0.43333333333333335,0.4,0.5333333333333333
2013-12-31,0.43333333333333335,moderate_drought,0.43333333333333335,0.43333333333333335,0.43333333333333335
2014-01-31,0.33999999999999997,severe_drought,0.1,0.5,0.5
2014-02-28,0.16333333333333333,extreme_drought,0.03333333333333333,0.1,0.4
2014-03-31,0.05333333333333333,extreme_drought,0.03333333333333333,0.03333333333333333,0.1
2014-04-30,0.06000000000000001,extreme_drought,0.1,0.03333333333333333,0.03333333333333333
2014-05-31,0.2733333333333334,severe_drought,0.6333333333333333,0.03333333333333333,0.03333333333333333
2014-06-30,0.2833333333333333,severe_drought,0.2333333333333333,0.6,0.03333333333333333
2014-07-31,0.52,moderate_drought,0.5,0.4666666666666666,0.6
2014-08-31,0.4799999999999999,moderate_drought,0.6,0.6333333333333333,0.16666666666666663
2014-09-30,0.5633333333333334,moderate_drought,0.7333333333333333,0.4,0.5
2014-10-31,0.49,moderate_drought,0.5,0.6333333333333333,0.33333333333333326
2014-11-30,0.47,moderate_drought,0.3,0.5666666666666667,0.6
2014-12-31,0.2833333333333333,severe_drought,0.13333333333333333,0.3,0.4666666666666666
2015-01-31,0.37333333333333335,severe_drought,0.6333333333333333,0.2,0.2
2015-02-28,0.4366666666666667,moderate_drought,0.36666666666666664,0.7,0.26666666666666666
2015-03-31,0.2833333333333333,severe_drought,0.13333333333333333,0.13333333333333333,0.6333333333333333
2015-04-30,0.2633333333333333,severe_drought,0.43333333333333335,0.2,0.1
2015-05-31,0.35333333333333333,severe_drought,0.43333333333333335,0.4666666666666666,0.13333333333333333
2015-06-30,0.51,moderate_drought,0.4,0.6333333333333333,0.5333333333333333
2015-07-31,0.2633333333333333,severe_drought,0.2333333333333333,0.3,0.26666666666666666
2015-08-31,0.34,severe_drought,0.5,0.2,0.26666666666666666
2015-09-30,0.33999999999999997,severe_drought,0.5,0.33333333333333326,0.13333333333333333
2015-10-31,0.41333333333333333,moderate_drought,0.43333333333333335,0.36666666666666664,0.43333333333333335
2015-11-30,0.35000000000000003,severe_drought,0.5,0.3,0.2
2015-12-31,0.5399999999999999,moderate_drought,0.7,0.6,0.26666666666666666
2016-01-31,0.5266666666666666,moderate_drought,0.26666666666666666,0.7,0.7
2016-02-29,0.4933333333333333,moderate_drought,0.7333333333333333,0.3,0.36666666666666664
2016-03-31,0.5766666666666667,moderate_drought,0.5666666666666667,0.8,0.36666666666666664
2016-04-30,0.5499999999999999,moderate_drought,0.7,0.33333333333333326,0.5666666666666667
2016-05-31,0.3999999999999999,severe_drought,0.3,0.6333333333333333,0.3
2016-06-30,0.44666666666666666,moderate_drought,0.5666666666666667,0.2333333333333333,0.5
2016-07-31,0.37333333333333324,severe_drought,0.33333333333333326,0.6666666666666665,0.13333333333333333
2016-08-31,0.4933333333333333,moderate_drought,0.5333333333333333,0.3,0.6333333333333333
2016-09-30,0.44333333333333336,moderate_drought,0.5333333333333333,0.43333333333333335,0.33333333333333326
2016-10-31,0.6266666666666666,mild_drought,0.9666666666666667,0.5666666666666667,0.2333333333333333
2016-11-30,0.77,mild_drought,0.8,0.8666666666666667,0.6333333333333333
2016-12-31,0.6933333333333334,mild_drought,0.6333333333333333,0.6333333333333333,0.8333333333333335
2017-01-31,0.5366666666666666,moderate_drought,0.4666666666666666,0.5666666666666667,0.6
2017-02-28,0.48,moderate_drought,0.6,0.2333333333333333,0.5666666666666667
2017-03-31,0.49000000000000005,moderate_drought,0.5,0.7,0.26666666666666666
2017-04-30,0.6966666666666668,mild_drought,0.5666666666666667,0.7333333333333333,0.8333333333333335
2017-05-31,0.45333333333333325,moderate_drought,0.2333333333333333,0.5333333333333333,0.6666666666666665
2017-06-30,0.29666666666666663,severe_drought,0.16666666666666663,0.16666666666666663,0.6
2017-07-31,0.2733333333333334,severe_drought,0.5333333333333333,0.13333333333333333,0.06666666666666667
2017-08-31,0.5233333333333334,moderate_drought,0.8333333333333335,0.33333333333333326,0.3
2017-09-30,0.49333333333333335,moderate_drought,0.33333333333333326,0.8333333333333335,0.36666666666666664
